"Index","Actual.Total.Load..MW....Austria..AT."
"2017-01-01 00:00:00",6572
"2017-01-01 01:00:00",6315.25
"2017-01-01 02:00:00",6101.25
"2017-01-01 03:00:00",5830.5
"2017-01-01 04:00:00",5715
"2017-01-01 05:00:00",5818.25
"2017-01-01 06:00:00",5774.25
"2017-01-01 07:00:00",6167.5
"2017-01-01 08:00:00",6405.5
"2017-01-01 09:00:00",6677.5
"2017-01-01 10:00:00",6893
"2017-01-01 11:00:00",6990.5
"2017-01-01 12:00:00",6891.25
"2017-01-01 13:00:00",6741.5
"2017-01-01 14:00:00",6673.25
"2017-01-01 15:00:00",6716.25
"2017-01-01 16:00:00",7148.5
"2017-01-01 17:00:00",7705.75
"2017-01-01 18:00:00",7828.5
"2017-01-01 19:00:00",7513
"2017-01-01 20:00:00",7184
"2017-01-01 21:00:00",6788.75
"2017-01-01 22:00:00",6906
"2017-01-01 23:00:00",6632.75
"2017-01-02 00:00:00",6353
"2017-01-02 01:00:00",6138
"2017-01-02 02:00:00",6042
"2017-01-02 03:00:00",5914.5
"2017-01-02 04:00:00",6076.5
"2017-01-02 05:00:00",6663.5
"2017-01-02 06:00:00",7383
"2017-01-02 07:00:00",8250.5
"2017-01-02 08:00:00",8723.25
"2017-01-02 09:00:00",8992
"2017-01-02 10:00:00",9024.25
"2017-01-02 11:00:00",9069.5
"2017-01-02 12:00:00",8941.25
"2017-01-02 13:00:00",8842.25
"2017-01-02 14:00:00",8783.75
"2017-01-02 15:00:00",8842.5
"2017-01-02 16:00:00",9192.5
"2017-01-02 17:00:00",9515.5
"2017-01-02 18:00:00",9373.75
"2017-01-02 19:00:00",8790
"2017-01-02 20:00:00",8267.75
"2017-01-02 21:00:00",7761
"2017-01-02 22:00:00",7706.75
"2017-01-02 23:00:00",7198.75
"2017-01-03 00:00:00",6876.25
"2017-01-03 01:00:00",6606
"2017-01-03 02:00:00",6412.25
"2017-01-03 03:00:00",6316
"2017-01-03 04:00:00",6455.5
"2017-01-03 05:00:00",6996.25
"2017-01-03 06:00:00",7645.25
"2017-01-03 07:00:00",8469.5
"2017-01-03 08:00:00",8913
"2017-01-03 09:00:00",9131.25
"2017-01-03 10:00:00",9292
"2017-01-03 11:00:00",9342.5
"2017-01-03 12:00:00",9155.5
"2017-01-03 13:00:00",9022.5
"2017-01-03 14:00:00",8917.5
"2017-01-03 15:00:00",8909.75
"2017-01-03 16:00:00",9289.25
"2017-01-03 17:00:00",9758.5
"2017-01-03 18:00:00",9659
"2017-01-03 19:00:00",9094.25
"2017-01-03 20:00:00",8583
"2017-01-03 21:00:00",7985.25
"2017-01-03 22:00:00",7867.25
"2017-01-03 23:00:00",7374
"2017-01-04 00:00:00",7062
"2017-01-04 01:00:00",6808
"2017-01-04 02:00:00",6593.75
"2017-01-04 03:00:00",6400.5
"2017-01-04 04:00:00",6561
"2017-01-04 05:00:00",7110
"2017-01-04 06:00:00",7884
"2017-01-04 07:00:00",8743.75
"2017-01-04 08:00:00",9132.5
"2017-01-04 09:00:00",9408.5
"2017-01-04 10:00:00",9569.75
"2017-01-04 11:00:00",9568.5
"2017-01-04 12:00:00",9368.5
"2017-01-04 13:00:00",9312
"2017-01-04 14:00:00",9302.5
"2017-01-04 15:00:00",9251.75
"2017-01-04 16:00:00",9555.25
"2017-01-04 17:00:00",9656
"2017-01-04 18:00:00",9445.5
"2017-01-04 19:00:00",8893.25
"2017-01-04 20:00:00",8381.75
"2017-01-04 21:00:00",7922.25
"2017-01-04 22:00:00",7819.5
"2017-01-04 23:00:00",7399.25
"2017-01-05 00:00:00",6970.25
"2017-01-05 01:00:00",6655.25
"2017-01-05 02:00:00",6571.75
"2017-01-05 03:00:00",6386
"2017-01-05 04:00:00",6475.25
"2017-01-05 05:00:00",6982
"2017-01-05 06:00:00",7648
"2017-01-05 07:00:00",8464.5
"2017-01-05 08:00:00",8916
"2017-01-05 09:00:00",9156.25
"2017-01-05 10:00:00",9352
"2017-01-05 11:00:00",9459.75
"2017-01-05 12:00:00",9354.75
"2017-01-05 13:00:00",9272.25
"2017-01-05 14:00:00",9154.25
"2017-01-05 15:00:00",9164.5
"2017-01-05 16:00:00",9448.75
"2017-01-05 17:00:00",9767.5
"2017-01-05 18:00:00",9642.5
"2017-01-05 19:00:00",9056.25
"2017-01-05 20:00:00",8508.25
"2017-01-05 21:00:00",7991.25
"2017-01-05 22:00:00",7835.25
"2017-01-05 23:00:00",7497
"2017-01-06 00:00:00",7149.25
"2017-01-06 01:00:00",6926.5
"2017-01-06 02:00:00",6729.5
"2017-01-06 03:00:00",6510.25
"2017-01-06 04:00:00",6500.75
"2017-01-06 05:00:00",6634.5
"2017-01-06 06:00:00",6660.25
"2017-01-06 07:00:00",7177.25
"2017-01-06 08:00:00",7598
"2017-01-06 09:00:00",8004
"2017-01-06 10:00:00",8294.25
"2017-01-06 11:00:00",8461
"2017-01-06 12:00:00",8278.75
"2017-01-06 13:00:00",8063.5
"2017-01-06 14:00:00",7952.75
"2017-01-06 15:00:00",7922.75
"2017-01-06 16:00:00",8201.5
"2017-01-06 17:00:00",8704
"2017-01-06 18:00:00",8733.75
"2017-01-06 19:00:00",8361.75
"2017-01-06 20:00:00",8017.75
"2017-01-06 21:00:00",7648.25
"2017-01-06 22:00:00",7815.25
"2017-01-06 23:00:00",7532
"2017-01-07 00:00:00",7296.5
"2017-01-07 01:00:00",7016
"2017-01-07 02:00:00",6835.25
"2017-01-07 03:00:00",6630
"2017-01-07 04:00:00",6591.5
"2017-01-07 05:00:00",6794
"2017-01-07 06:00:00",7108.25
"2017-01-07 07:00:00",7831.75
"2017-01-07 08:00:00",8360
"2017-01-07 09:00:00",8587.25
"2017-01-07 10:00:00",8624.75
"2017-01-07 11:00:00",8636
"2017-01-07 12:00:00",8577.75
"2017-01-07 13:00:00",8415.25
"2017-01-07 14:00:00",8291.75
"2017-01-07 15:00:00",8341.75
"2017-01-07 16:00:00",8647
