"Index","Biomass.","Brown.coal.Lignite.","Coal.derived.gas.","Gas.","Hard.coal.","Oil.","Oil.shale.","Peat.","Geothermal.","PSP.","PSP.Cons.","RoR.","Hydro.Reservoir.","Marine.","Nuclear.","Other.","Other.renewable.","Solar.","Waste.","Wind.Offshore.","Wind.Onshore."
"2018-01-01 00:00:00",0,0,0,0,0,0,0,0,0,54,0,118,279,0,2816,0,0,0,0,0,29
"2018-01-01 01:00:00",0,0,0,0,0,0,0,0,0,66,0,113,286,0,2595,0,0,0,0,0,26
"2018-01-01 02:00:00",0,0,0,0,0,0,0,0,0,88,0,127,272,0,2810,0,0,0,0,0,29
"2018-01-01 03:00:00",0,0,0,0,0,0,0,0,0,50,0,123,264,0,2813,0,0,0,0,0,29
"2018-01-01 04:00:00",0,0,0,0,0,0,0,0,0,106,0,105,263,0,1864,0,0,0,0,0,29
"2018-01-01 05:00:00",0,0,0,0,0,0,0,0,0,67,0,107,250,0,2264,0,0,0,0,0,26
"2018-01-01 06:00:00",0,0,0,0,0,0,0,0,0,76,0,111,247,0,2817,0,0,0,0,0,25
"2018-01-01 07:00:00",0,0,0,0,0,0,0,0,0,95,0,111,198,0,2816,0,0,0,0,0,23
"2018-01-01 08:00:00",0,0,0,0,0,0,0,0,0,89,0,110,227,0,2817,0,0,2,0,0,19
"2018-01-01 09:00:00",0,0,0,0,0,0,0,0,0,115,0,120,185,0,2818,0,0,22,0,0,22
"2018-01-01 10:00:00",0,0,0,0,0,0,0,0,0,123,0,113,179,0,2818,0,0,65,0,0,24
"2018-01-01 11:00:00",0,0,0,0,0,0,0,0,0,97,0,102,231,0,2815,0,0,98,0,0,20
"2018-01-01 12:00:00",0,0,0,0,0,0,0,0,0,98,0,100,290,0,2769,0,0,107,0,0,26
"2018-01-01 13:00:00",0,0,0,0,0,0,0,0,0,108,0,102,319,0,2764,0,0,96,0,0,26
"2018-01-01 14:00:00",0,0,0,0,0,0,0,0,0,105,0,104,265,0,2764,0,0,55,0,0,22
"2018-01-01 15:00:00",0,0,0,0,0,0,0,0,0,89,0,105,296,0,2803,0,0,17,0,0,21
"2018-01-01 16:00:00",0,0,0,0,0,0,0,0,0,116,0,106,273,0,2814,0,0,2,0,0,21
"2018-01-01 17:00:00",0,0,0,0,0,0,0,0,0,171,0,110,264,0,2815,0,0,0,0,0,22
"2018-01-01 18:00:00",0,0,0,0,0,0,0,0,0,797,0,115,563,0,2818,0,0,0,0,0,22
"2018-01-01 19:00:00",0,0,0,0,0,0,0,0,0,730,0,116,410,0,2815,0,0,0,0,0,23
"2018-01-01 20:00:00",0,0,0,0,0,0,0,0,0,518,0,113,294,0,2812,0,0,0,0,0,23
"2018-01-01 21:00:00",0,0,0,0,0,0,0,0,0,88,0,111,280,0,2814,0,0,0,0,0,23
"2018-01-01 22:00:00",0,0,0,0,0,0,0,0,0,31,0,111,284,0,2814,0,0,0,0,0,23
"2018-01-01 23:00:00",0,0,0,0,0,0,0,0,0,26,0,109,264,0,2814,0,0,0,0,0,22
"2018-01-02 00:00:00",0,0,0,0,0,0,0,0,0,30,0,109,248,0,2816,0,0,0,0,0,21
"2018-01-02 01:00:00",0,0,0,0,0,0,0,0,0,10,0,106,260,0,2819,0,0,0,0,0,23
"2018-01-02 02:00:00",0,0,0,0,0,0,0,0,0,10,0,116,259,0,2819,0,0,0,0,0,22
"2018-01-02 03:00:00",0,0,0,0,0,0,0,0,0,14,0,111,260,0,2819,0,0,0,0,0,22
"2018-01-02 04:00:00",0,0,0,0,0,0,0,0,0,30,0,115,239,0,2819,0,0,0,0,0,23
"2018-01-02 05:00:00",0,0,0,0,0,0,0,0,0,54,0,117,257,0,2365,0,0,0,0,0,23
"2018-01-02 06:00:00",0,0,0,0,0,0,0,0,0,88,0,120,301,0,2788,0,0,0,0,0,24
"2018-01-02 07:00:00",0,0,0,0,0,0,0,0,0,134,0,110,301,0,2817,0,0,0,0,0,22
"2018-01-02 08:00:00",0,0,0,0,0,0,0,0,0,180,0,126,307,0,2819,0,0,2,0,0,21
"2018-01-02 09:00:00",0,0,0,0,0,0,0,0,0,229,0,117,335,0,2820,0,0,16,0,0,17
"2018-01-02 10:00:00",0,0,0,0,0,0,0,0,0,218,0,118,312,0,2820,0,0,43,0,0,15
"2018-01-02 11:00:00",0,0,0,0,0,0,0,0,0,177,0,118,302,0,2820,0,0,60,0,0,15
"2018-01-02 12:00:00",0,0,0,0,0,0,0,0,0,198,0,123,218,0,2819,0,0,55,0,0,12
"2018-01-02 13:00:00",0,0,0,0,0,0,0,0,0,215,0,121,202,0,2820,0,0,51,0,0,10
"2018-01-02 14:00:00",0,0,0,0,0,0,0,0,0,546,0,121,161,0,2821,0,0,34,0,0,11
"2018-01-02 15:00:00",0,0,0,0,0,0,0,0,0,617,0,124,186,0,2817,0,0,16,0,0,11
"2018-01-02 16:00:00",0,0,0,0,0,0,0,0,0,933,0,123,164,0,2816,0,0,2,0,0,13
"2018-01-02 17:00:00",0,0,0,0,0,0,0,0,0,1041,0,117,423,0,2815,0,0,0,0,0,11
"2018-01-02 18:00:00",0,0,0,0,0,0,0,0,0,1026,0,117,454,0,2818,0,0,0,0,0,13
"2018-01-02 19:00:00",0,0,0,0,0,0,0,0,0,512,0,118,282,0,2819,0,0,0,0,0,23
"2018-01-02 20:00:00",0,0,0,0,0,0,0,0,0,285,0,122,314,0,2820,0,0,0,0,0,24
"2018-01-02 21:00:00",0,0,0,0,0,0,0,0,0,198,0,112,255,0,2819,0,0,0,0,0,22
"2018-01-02 22:00:00",0,0,0,0,0,0,0,0,0,223,0,118,237,0,2821,0,0,0,0,0,24
"2018-01-02 23:00:00",0,0,0,0,0,0,0,0,0,157,0,119,219,0,2825,0,0,0,0,0,24
"2018-01-03 00:00:00",0,0,0,0,0,0,0,0,0,133,0,109,195,0,2825,0,0,0,0,0,26
"2018-01-03 01:00:00",0,0,0,0,0,0,0,0,0,119,0,114,191,0,2823,0,0,0,0,0,27
"2018-01-03 02:00:00",0,0,0,0,0,0,0,0,0,136,0,111,202,0,2823,0,0,0,0,0,27
"2018-01-03 03:00:00",0,0,0,0,0,0,0,0,0,93,0,112,205,0,2820,0,0,0,0,0,28
"2018-01-03 04:00:00",0,0,0,0,0,0,0,0,0,92,0,109,211,0,2818,0,0,0,0,0,26
"2018-01-03 05:00:00",0,0,0,0,0,0,0,0,0,116,0,103,232,0,2813,0,0,0,0,0,27
"2018-01-03 06:00:00",0,0,0,0,0,0,0,0,0,200,0,126,263,0,2804,0,0,0,0,0,27
"2018-01-03 07:00:00",0,0,0,0,0,0,0,0,0,614,0,117,366,0,2796,0,0,0,0,0,27
"2018-01-03 08:00:00",0,0,0,0,0,0,0,0,0,1296,0,118,362,0,2793,0,0,1,0,0,23
"2018-01-03 09:00:00",0,0,0,0,0,0,0,0,0,1102,0,110,319,0,2749,0,0,8,0,0,17
"2018-01-03 10:00:00",0,0,0,0,0,0,0,0,0,757,0,119,276,0,2753,0,0,11,0,0,13
"2018-01-03 11:00:00",0,0,0,0,0,0,0,0,0,733,0,103,218,0,2790,0,0,21,0,0,12
"2018-01-03 12:00:00",0,0,0,0,0,0,0,0,0,805,0,113,389,0,2812,0,0,13,0,0,12
"2018-01-03 13:00:00",0,0,0,0,0,0,0,0,0,823,0,126,191,0,2821,0,0,16,0,0,17
"2018-01-03 14:00:00",0,0,0,0,0,0,0,0,0,858,0,113,164,0,2814,0,0,19,0,0,19
"2018-01-03 15:00:00",0,0,0,0,0,0,0,0,0,942,0,126,138,0,2639,0,0,16,0,0,21
"2018-01-03 16:00:00",0,0,0,0,0,0,0,0,0,864,0,125,182,0,2814,0,0,3,0,0,27
"2018-01-03 17:00:00",0,0,0,0,0,0,0,0,0,1194,0,119,424,0,2815,0,0,0,0,0,28
"2018-01-03 18:00:00",0,0,0,0,0,0,0,0,0,1220,0,122,594,0,2817,0,0,0,0,0,22
"2018-01-03 19:00:00",0,0,0,0,0,0,0,0,0,1119,0,123,411,0,2351,0,0,0,0,0,23
"2018-01-03 20:00:00",0,0,0,0,0,0,0,0,0,771,0,121,228,0,2326,0,0,0,0,0,24
"2018-01-03 21:00:00",0,0,0,0,0,0,0,0,0,361,0,126,356,0,2374,0,0,0,0,0,22
"2018-01-03 22:00:00",0,0,0,0,0,0,0,0,0,233,0,117,330,0,2325,0,0,0,0,0,22
"2018-01-03 23:00:00",0,0,0,0,0,0,0,0,0,78,0,114,282,0,2818,0,0,0,0,0,22
"2018-01-04 00:00:00",0,0,0,0,0,0,0,0,0,62,0,113,197,0,2817,0,0,0,0,0,5
"2018-01-04 01:00:00",0,0,0,0,0,0,0,0,0,59,0,125,198,0,2819,0,0,0,0,0,5
"2018-01-04 02:00:00",0,0,0,0,0,0,0,0,0,79,0,121,210,0,2821,0,0,0,0,0,4
"2018-01-04 03:00:00",0,0,0,0,0,0,0,0,0,99,0,115,194,0,2821,0,0,0,0,0,3
"2018-01-04 04:00:00",0,0,0,0,0,0,0,0,0,82,0,115,197,0,2822,0,0,0,0,0,4
"2018-01-04 05:00:00",0,0,0,0,0,0,0,0,0,108,0,111,222,0,2821,0,0,0,0,0,5
"2018-01-04 06:00:00",0,0,0,0,0,0,0,0,0,273,0,129,272,0,2820,0,0,0,0,0,5
"2018-01-04 07:00:00",0,0,0,0,0,0,0,0,0,550,0,119,273,0,2819,0,0,0,0,0,4
"2018-01-04 08:00:00",0,0,0,0,0,0,0,0,0,969,0,112,367,0,2817,0,0,0,0,0,3
"2018-01-04 09:00:00",0,0,0,0,0,0,0,0,0,1201,0,109,376,0,2818,0,0,1,0,0,3
"2018-01-04 10:00:00",0,0,0,0,0,0,0,0,0,973,0,117,270,0,2817,0,0,3,0,0,3
"2018-01-04 11:00:00",0,0,0,0,0,0,0,0,0,798,0,114,258,0,2812,0,0,4,0,0,3
"2018-01-04 12:00:00",0,0,0,0,0,0,0,0,0,718,0,114,257,0,2809,0,0,5,0,0,3
"2018-01-04 13:00:00",0,0,0,0,0,0,0,0,0,717,0,122,199,0,2807,0,0,5,0,0,3
"2018-01-04 14:00:00",0,0,0,0,0,0,0,0,0,708,0,130,211,0,2798,0,0,3,0,0,3
"2018-01-04 15:00:00",0,0,0,0,0,0,0,0,0,807,0,130,201,0,2793,0,0,1,0,0,3
"2018-01-04 16:00:00",0,0,0,0,0,0,0,0,0,800,0,136,225,0,2794,0,0,0,0,0,3
"2018-01-04 17:00:00",0,0,0,0,0,0,0,0,0,928,0,139,370,0,2795,0,0,0,0,0,3
"2018-01-04 18:00:00",0,0,0,0,0,0,0,0,0,953,0,140,412,0,2795,0,0,0,0,0,3
"2018-01-04 19:00:00",0,0,0,0,0,0,0,0,0,943,0,137,331,0,2795,0,0,0,0,0,4
"2018-01-04 20:00:00",0,0,0,0,0,0,0,0,0,381,0,134,203,0,2797,0,0,0,0,0,3
"2018-01-04 21:00:00",0,0,0,0,0,0,0,0,0,248,0,128,314,0,2794,0,0,0,0,0,2
"2018-01-04 22:00:00",0,0,0,0,0,0,0,0,0,196,0,116,276,0,2797,0,0,0,0,0,3
"2018-01-04 23:00:00",0,0,0,0,0,0,0,0,0,147,0,112,200,0,2798,0,0,0,0,0,3
"2018-01-05 00:00:00",0,0,0,0,0,0,0,0,0,242,0,107,265,0,2802,0,0,0,0,0,23
"2018-01-05 01:00:00",0,0,0,0,0,0,0,0,0,132,0,102,195,0,2806,0,0,0,0,0,21
"2018-01-05 02:00:00",0,0,0,0,0,0,0,0,0,158,0,95,201,0,2806,0,0,0,0,0,21
"2018-01-05 03:00:00",0,0,0,0,0,0,0,0,0,148,0,92,190,0,2806,0,0,0,0,0,20
"2018-01-05 04:00:00",0,0,0,0,0,0,0,0,0,148,0,94,205,0,2807,0,0,0,0,0,20
"2018-01-05 05:00:00",0,0,0,0,0,0,0,0,0,159,0,84,230,0,2806,0,0,0,0,0,20
"2018-01-05 06:00:00",0,0,0,0,0,0,0,0,0,328,0,75,405,0,2806,0,0,0,0,0,23
"2018-01-05 07:00:00",0,0,0,0,0,0,0,0,0,692,0,87,461,0,2806,0,0,0,0,0,24
"2018-01-05 08:00:00",0,0,0,0,0,0,0,0,0,1095,0,93,297,0,2808,0,0,3,0,0,25
"2018-01-05 09:00:00",0,0,0,0,0,0,0,0,0,781,0,105,281,0,2811,0,0,25,0,0,25
"2018-01-05 10:00:00",0,0,0,0,0,0,0,0,0,603,0,99,381,0,2811,0,0,50,0,0,24
"2018-01-05 11:00:00",0,0,0,0,0,0,0,0,0,1259,0,99,348,0,2807,0,0,54,0,0,25
"2018-01-05 12:00:00",0,0,0,0,0,0,0,0,0,829,0,99,324,0,2806,0,0,44,0,0,24
"2018-01-05 13:00:00",0,0,0,0,0,0,0,0,0,806,0,106,226,0,2803,0,0,25,0,0,26
"2018-01-05 14:00:00",0,0,0,0,0,0,0,0,0,1269,0,109,243,0,2800,0,0,19,0,0,25
"2018-01-05 15:00:00",0,0,0,0,0,0,0,0,0,1270,0,107,215,0,2802,0,0,11,0,0,23
"2018-01-05 16:00:00",0,0,0,0,0,0,0,0,0,1422,0,95,351,0,2804,0,0,3,0,0,23
"2018-01-05 17:00:00",0,0,0,0,0,0,0,0,0,1769,0,105,871,0,2808,0,0,0,0,0,20
"2018-01-05 18:00:00",0,0,0,0,0,0,0,0,0,2032,0,114,1030,0,2810,0,0,0,0,0,16
"2018-01-05 19:00:00",0,0,0,0,0,0,0,0,0,1725,0,114,645,0,2813,0,0,0,0,0,12
"2018-01-05 20:00:00",0,0,0,0,0,0,0,0,0,780,0,105,242,0,2809,0,0,0,0,0,6
"2018-01-05 21:00:00",0,0,0,0,0,0,0,0,0,571,0,104,206,0,2812,0,0,0,0,0,5
"2018-01-05 22:00:00",0,0,0,0,0,0,0,0,0,310,0,106,390,0,2813,0,0,0,0,0,3
"2018-01-05 23:00:00",0,0,0,0,0,0,0,0,0,308,0,106,305,0,2813,0,0,0,0,0,3
"2018-01-06 00:00:00",0,0,0,0,0,0,0,0,0,306,0,118,180,0,2813,0,0,0,0,0,3
"2018-01-06 01:00:00",0,0,0,0,0,0,0,0,0,299,0,111,134,0,2817,0,0,0,0,0,3
"2018-01-06 02:00:00",0,0,0,0,0,0,0,0,0,320,0,115,129,0,2816,0,0,0,0,0,2
"2018-01-06 03:00:00",0,0,0,0,0,0,0,0,0,336,0,116,121,0,2645,0,0,0,0,0,3
"2018-01-06 04:00:00",0,0,0,0,0,0,0,0,0,336,0,89,108,0,2711,0,0,0,0,0,3
"2018-01-06 05:00:00",0,0,0,0,0,0,0,0,0,353,0,98,113,0,2815,0,0,0,0,0,3
"2018-01-06 06:00:00",0,0,0,0,0,0,0,0,0,385,0,106,117,0,2815,0,0,0,0,0,4
"2018-01-06 07:00:00",0,0,0,0,0,0,0,0,0,392,0,106,119,0,2815,0,0,0,0,0,5
"2018-01-06 08:00:00",0,0,0,0,0,0,0,0,0,396,0,108,120,0,2817,0,0,2,0,0,9
"2018-01-06 09:00:00",0,0,0,0,0,0,0,0,0,457,0,112,141,0,2816,0,0,15,0,0,11
"2018-01-06 10:00:00",0,0,0,0,0,0,0,0,0,394,0,118,155,0,2815,0,0,34,0,0,12
"2018-01-06 11:00:00",0,0,0,0,0,0,0,0,0,446,0,112,160,0,2814,0,0,48,0,0,9
"2018-01-06 12:00:00",0,0,0,0,0,0,0,0,0,456,0,117,154,0,2814,0,0,52,0,0,9
"2018-01-06 13:00:00",0,0,0,0,0,0,0,0,0,474,0,120,175,0,2814,0,0,48,0,0,8
"2018-01-06 14:00:00",0,0,0,0,0,0,0,0,0,447,0,117,161,0,2813,0,0,33,0,0,5
"2018-01-06 15:00:00",0,0,0,0,0,0,0,0,0,476,0,107,167,0,2813,0,0,14,0,0,4
"2018-01-06 16:00:00",0,0,0,0,0,0,0,0,0,455,0,109,144,0,2814,0,0,2,0,0,3
"2018-01-06 17:00:00",0,0,0,0,0,0,0,0,0,491,0,113,193,0,2814,0,0,0,0,0,3
"2018-01-06 18:00:00",0,0,0,0,0,0,0,0,0,1092,0,118,174,0,2813,0,0,0,0,0,5
"2018-01-06 19:00:00",0,0,0,0,0,0,0,0,0,543,0,113,117,0,2815,0,0,0,0,0,7
"2018-01-06 20:00:00",0,0,0,0,0,0,0,0,0,589,0,111,189,0,2815,0,0,0,0,0,7
"2018-01-06 21:00:00",0,0,0,0,0,0,0,0,0,403,0,110,209,0,2813,0,0,0,0,0,8
"2018-01-06 22:00:00",0,0,0,0,0,0,0,0,0,439,0,111,238,0,2814,0,0,0,0,0,9
"2018-01-06 23:00:00",0,0,0,0,0,0,0,0,0,343,0,102,181,0,2818,0,0,0,0,0,9
"2018-01-07 00:00:00",0,0,0,0,0,0,0,0,0,206,0,101,288,0,2818,0,0,0,0,0,7
"2018-01-07 01:00:00",0,0,0,0,0,0,0,0,0,175,0,106,318,0,2815,0,0,0,0,0,6
"2018-01-07 02:00:00",0,0,0,0,0,0,0,0,0,169,0,106,282,0,2815,0,0,0,0,0,7
"2018-01-07 03:00:00",0,0,0,0,0,0,0,0,0,161,0,105,289,0,2816,0,0,0,0,0,10
"2018-01-07 04:00:00",0,0,0,0,0,0,0,0,0,144,0,117,287,0,2814,0,0,0,0,0,12
"2018-01-07 05:00:00",0,0,0,0,0,0,0,0,0,226,0,123,284,0,2816,0,0,0,0,0,14
"2018-01-07 06:00:00",0,0,0,0,0,0,0,0,0,196,0,119,280,0,2816,0,0,0,0,0,15
"2018-01-07 07:00:00",0,0,0,0,0,0,0,0,0,156,0,116,294,0,2815,0,0,0,0,0,14
"2018-01-07 08:00:00",0,0,0,0,0,0,0,0,0,198,0,109,306,0,2816,0,0,1,0,0,14
"2018-01-07 09:00:00",0,0,0,0,0,0,0,0,0,259,0,106,412,0,2817,0,0,7,0,0,17
"2018-01-07 10:00:00",0,0,0,0,0,0,0,0,0,175,0,104,333,0,2816,0,0,14,0,0,14
"2018-01-07 11:00:00",0,0,0,0,0,0,0,0,0,242,0,105,320,0,2817,0,0,21,0,0,13
"2018-01-07 12:00:00",0,0,0,0,0,0,0,0,0,204,0,115,307,0,2814,0,0,23,0,0,16
"2018-01-07 13:00:00",0,0,0,0,0,0,0,0,0,216,0,116,342,0,2813,0,0,18,0,0,15
"2018-01-07 14:00:00",0,0,0,0,0,0,0,0,0,171,0,113,325,0,2557,0,0,15,0,0,10
"2018-01-07 15:00:00",0,0,0,0,0,0,0,0,0,162,0,115,304,0,2814,0,0,9,0,0,7
"2018-01-07 16:00:00",0,0,0,0,0,0,0,0,0,182,0,113,317,0,2815,0,0,2,0,0,7
"2018-01-07 17:00:00",0,0,0,0,0,0,0,0,0,455,0,111,217,0,2815,0,0,0,0,0,8
"2018-01-07 18:00:00",0,0,0,0,0,0,0,0,0,816,0,116,203,0,2815,0,0,0,0,0,6
"2018-01-07 19:00:00",0,0,0,0,0,0,0,0,0,813,0,116,219,0,2817,0,0,0,0,0,10
"2018-01-07 20:00:00",0,0,0,0,0,0,0,0,0,725,0,113,217,0,2819,0,0,0,0,0,11
"2018-01-07 21:00:00",0,0,0,0,0,0,0,0,0,466,0,108,251,0,2819,0,0,0,0,0,7
"2018-01-07 22:00:00",0,0,0,0,0,0,0,0,0,514,0,107,217,0,2821,0,0,0,0,0,5
"2018-01-07 23:00:00",0,0,0,0,0,0,0,0,0,239,0,112,335,0,2822,0,0,0,0,0,6
"2018-01-08 00:00:00",0,0,0,0,0,0,0,0,0,111,0,126,318,0,2823,0,0,0,0,0,10
"2018-01-08 01:00:00",0,0,0,0,0,0,0,0,0,149,0,126,342,0,2823,0,0,0,0,0,10
"2018-01-08 02:00:00",0,0,0,0,0,0,0,0,0,142,0,121,250,0,2822,0,0,0,0,0,11
"2018-01-08 03:00:00",0,0,0,0,0,0,0,0,0,146,0,119,185,0,2823,0,0,0,0,0,12
"2018-01-08 04:00:00",0,0,0,0,0,0,0,0,0,125,0,118,195,0,2821,0,0,0,0,0,9
"2018-01-08 05:00:00",0,0,0,0,0,0,0,0,0,186,0,111,279,0,2822,0,0,0,0,0,12
"2018-01-08 06:00:00",0,0,0,0,0,0,0,0,0,358,0,126,876,0,2480,0,0,0,0,0,11
"2018-01-08 07:00:00",0,0,0,0,0,0,0,0,0,1566,0,128,1449,0,2630,0,0,0,0,0,13
"2018-01-08 08:00:00",0,0,0,0,0,0,0,0,0,1751,0,118,1112,0,2817,0,0,4,0,0,12
"2018-01-08 09:00:00",0,0,0,0,0,0,0,0,0,1700,0,118,918,0,2818,0,0,17,0,0,8
"2018-01-08 10:00:00",0,0,0,0,0,0,0,0,0,1351,0,135,771,0,2815,0,0,37,0,0,13
"2018-01-08 11:00:00",0,0,0,0,0,0,0,0,0,1353,0,129,1231,0,2816,0,0,52,0,0,13
"2018-01-08 12:00:00",0,0,0,0,0,0,0,0,0,1120,0,121,1134,0,2814,0,0,66,0,0,11
"2018-01-08 13:00:00",0,0,0,0,0,0,0,0,0,968,0,120,1086,0,2811,0,0,63,0,0,11
"2018-01-08 14:00:00",0,0,0,0,0,0,0,0,0,735,0,115,622,0,2812,0,0,41,0,0,11
"2018-01-08 15:00:00",0,0,0,0,0,0,0,0,0,1039,0,119,750,0,2812,0,0,17,0,0,11
"2018-01-08 16:00:00",0,0,0,0,0,0,0,0,0,1335,0,137,855,0,2811,0,0,2,0,0,10
"2018-01-08 17:00:00",0,0,0,0,0,0,0,0,0,1874,0,135,1099,0,2813,0,0,0,0,0,15
"2018-01-08 18:00:00",0,0,0,0,0,0,0,0,0,1956,0,132,1162,0,2815,0,0,0,0,0,16
"2018-01-08 19:00:00",0,0,0,0,0,0,0,0,0,1364,0,130,809,0,2817,0,0,0,0,0,18
"2018-01-08 20:00:00",0,0,0,0,0,0,0,0,0,838,0,127,525,0,2819,0,0,0,0,0,22
"2018-01-08 21:00:00",0,0,0,0,0,0,0,0,0,357,0,123,440,0,2817,0,0,0,0,0,26
"2018-01-08 22:00:00",0,0,0,0,0,0,0,0,0,240,0,122,498,0,2819,0,0,0,0,0,27
"2018-01-08 23:00:00",0,0,0,0,0,0,0,0,0,280,0,125,492,0,2821,0,0,0,0,0,27
"2018-01-09 00:00:00",0,0,0,0,0,0,0,0,0,95,0,122,345,0,2820,0,0,0,0,0,6
"2018-01-09 01:00:00",0,0,0,0,0,0,0,0,0,43,0,114,304,0,2822,0,0,0,0,0,4
"2018-01-09 02:00:00",0,0,0,0,0,0,0,0,0,92,0,123,324,0,2822,0,0,0,0,0,6
"2018-01-09 03:00:00",0,0,0,0,0,0,0,0,0,75,0,122,320,0,2823,0,0,0,0,0,4
"2018-01-09 04:00:00",0,0,0,0,0,0,0,0,0,59,0,118,288,0,2824,0,0,0,0,0,4
"2018-01-09 05:00:00",0,0,0,0,0,0,0,0,0,129,0,135,321,0,2822,0,0,0,0,0,5
"2018-01-09 06:00:00",0,0,0,0,0,0,0,0,0,367,0,149,490,0,2822,0,0,0,0,0,6
"2018-01-09 07:00:00",0,0,0,0,0,0,0,0,0,1051,0,148,984,0,2821,0,0,0,0,0,10
"2018-01-09 08:00:00",0,0,0,0,0,0,0,0,0,1979,0,167,1407,0,2821,0,0,3,0,0,4
"2018-01-09 09:00:00",0,0,0,0,0,0,0,0,0,2016,0,165,1351,0,2822,0,0,16,0,0,4
"2018-01-09 10:00:00",0,0,0,0,0,0,0,0,0,1741,0,144,1256,0,2822,0,0,29,0,0,6
"2018-01-09 11:00:00",0,0,0,0,0,0,0,0,0,1782,0,149,1247,0,2821,0,0,38,0,0,8
"2018-01-09 12:00:00",0,0,0,0,0,0,0,0,0,931,0,126,963,0,2821,0,0,42,0,0,7
"2018-01-09 13:00:00",0,0,0,0,0,0,0,0,0,920,0,132,607,0,2821,0,0,36,0,0,6
"2018-01-09 14:00:00",0,0,0,0,0,0,0,0,0,915,0,131,832,0,2820,0,0,30,0,0,6
"2018-01-09 15:00:00",0,0,0,0,0,0,0,0,0,1127,0,135,886,0,2824,0,0,18,0,0,5
"2018-01-09 16:00:00",0,0,0,0,0,0,0,0,0,1201,0,141,844,0,2821,0,0,4,0,0,5
"2018-01-09 17:00:00",0,0,0,0,0,0,0,0,0,1611,0,146,906,0,2819,0,0,0,0,0,4
"2018-01-09 18:00:00",0,0,0,0,0,0,0,0,0,1685,0,144,1072,0,2818,0,0,0,0,0,2
"2018-01-09 19:00:00",0,0,0,0,0,0,0,0,0,526,0,130,799,0,2818,0,0,0,0,0,1
"2018-01-09 20:00:00",0,0,0,0,0,0,0,0,0,403,0,127,576,0,2821,0,0,0,0,0,1
"2018-01-09 21:00:00",0,0,0,0,0,0,0,0,0,339,0,128,438,0,2821,0,0,0,0,0,1
"2018-01-09 22:00:00",0,0,0,0,0,0,0,0,0,244,0,136,442,0,2822,0,0,0,0,0,2
"2018-01-09 23:00:00",0,0,0,0,0,0,0,0,0,234,0,129,396,0,2824,0,0,0,0,0,2
"2018-01-10 00:00:00",0,0,0,0,0,0,0,0,0,293,0,127,424,0,2824,0,0,0,0,0,14
"2018-01-10 01:00:00",0,0,0,0,0,0,0,0,0,202,0,126,327,0,2827,0,0,0,0,0,13
"2018-01-10 02:00:00",0,0,0,0,0,0,0,0,0,244,0,127,313,0,2828,0,0,0,0,0,21
"2018-01-10 03:00:00",0,0,0,0,0,0,0,0,0,283,0,127,294,0,2826,0,0,0,0,0,21
"2018-01-10 04:00:00",0,0,0,0,0,0,0,0,0,285,0,123,296,0,2826,0,0,0,0,0,19
"2018-01-10 05:00:00",0,0,0,0,0,0,0,0,0,269,0,127,385,0,2827,0,0,0,0,0,14
"2018-01-10 06:00:00",0,0,0,0,0,0,0,0,0,466,0,140,505,0,2825,0,0,0,0,0,20
"2018-01-10 07:00:00",0,0,0,0,0,0,0,0,0,670,0,156,606,0,2825,0,0,0,0,0,17
"2018-01-10 08:00:00",0,0,0,0,0,0,0,0,0,1113,0,137,1641,0,2824,0,0,3,0,0,15
"2018-01-10 09:00:00",0,0,0,0,0,0,0,0,0,1210,0,129,1195,0,2823,0,0,17,0,0,11
"2018-01-10 10:00:00",0,0,0,0,0,0,0,0,0,1111,0,127,1110,0,2823,0,0,34,0,0,10
"2018-01-10 11:00:00",0,0,0,0,0,0,0,0,0,784,0,131,900,0,2823,0,0,46,0,0,17
"2018-01-10 12:00:00",0,0,0,0,0,0,0,0,0,681,0,128,821,0,2824,0,0,44,0,0,21
