"Index","Biomass.","Brown.coal.Lignite.","Coal.derived.gas.","Gas.","Hard.coal.","Oil.","Oil.shale.","Peat.","Geothermal.","PSP.","PSP.Cons.","RoR.","Hydro.Reservoir.","Marine.","Nuclear.","Other.","Other.renewable.","Solar.","Waste.","Wind.Offshore.","Wind.Onshore."
"2019-01-01 00:00:00",4930.75,6335,0,3273.25,2811.75,482.5,0,0,3,167.75,1043.5,1471.25,86.75,0,9001.5,383,107,0,497,3136.5,19995.5
"2019-01-01 01:00:00",4904,5379.5,0,2967.25,2404.25,481.75,0,0,3,116,1506.5,1479.25,74.5,0,8535.25,343.75,107,0,495.75,2868,22036.5
"2019-01-01 02:00:00",4866.5,5341,0,2720.25,2228.5,484.25,0,0,3,87.75,1224,1413.75,97.25,0,7954,279.75,107,0,500,2459.5,22748.25
"2019-01-01 03:00:00",4865.75,5270.75,0,2653.25,2356.75,487.25,0,0,3,1,1623.75,1416.75,78,0,7221.75,276,107,0,490.75,2697.75,23870.25
"2019-01-01 04:00:00",4867.25,5178.75,0,2706,2308.5,491.5,0,0,3,1,2878,1393.25,65,0,7120,274,107,0,495,2578.25,25921.5
"2019-01-01 05:00:00",4859.75,5076.5,0,2720,2311.25,491.5,0,0,3,3,3802.25,1346.5,38.5,0,7060.75,274,107,0,501.25,2378.75,27429
"2019-01-01 06:00:00",4868.25,5072.25,0,2714.25,2158.75,491.25,0,0,3,0,4446.5,1355.25,61,0,7035.25,273,107,0,500,1930.25,29086.25
"2019-01-01 07:00:00",4881.5,5038.25,0,2819.5,2182.25,491,0,0,3,0,4575.5,1359.25,72.75,0,7173,273,107,0,498.25,2044.5,29905.25
"2019-01-01 08:00:00",4901,4918.75,0,2858,2267.5,490.5,0,0,3,0,4223.25,1362,84,0,7155.5,273,107,84.25,489.25,2208,30439.5
"2019-01-01 09:00:00",4901,4928.25,0,2864.5,2642.25,490.25,0,0,3,0,4079.75,1365,118.25,0,6990,273,107,582.75,498.75,2075,30199.75
"2019-01-01 10:00:00",4908.75,4949,0,2883.25,2696.5,490.5,0,0,3,0,2770.25,1364.25,171.25,0,6639.75,273,107,1368.75,497.75,2155.25,31311
"2019-01-01 11:00:00",4904.75,4918.75,0,2971.75,2761.25,490,0,0,3,0,2220.75,1441,132.5,0,6708.5,273.25,107,2053.25,499.5,2722.25,32990
"2019-01-01 12:00:00",4907.5,4946.25,0,2957.5,2808.75,489.25,0,0,3,1,1938.75,1442,158.5,0,6954.25,273.25,107,2231.75,499.5,2521,33378.75
"2019-01-01 13:00:00",4904,4953.75,0,2874.75,2811.5,488.75,0,0,3,32,1729.25,1439.5,132.5,0,6952.75,274,107,2006.5,497,2283,34171.75
"2019-01-01 14:00:00",4903,4960.75,0,2877.25,2811.75,489.75,0,0,3,76.75,1099.5,1435.75,170.25,0,7016.5,274,107,1297.25,497.75,2244.5,34623.5
"2019-01-01 15:00:00",4896.75,5017.5,0,2882.75,2832.25,489,0,0,3,1020.75,291,1430,130,0,7270.5,273.75,107,445,497,2120.25,34728.25
"2019-01-01 16:00:00",4894.25,4950.75,0,2941.75,2742,488,0,0,3,2305.5,343,1423.25,136.5,0,7506.25,273,107,21.75,496.5,2216.25,35738.75
"2019-01-01 17:00:00",4889.75,4972.25,0,2935.5,2756.75,489.5,0,0,3,3398.25,325.5,1409,36.25,0,7654.25,273,107,0,494.5,2266.75,36282.75
"2019-01-01 18:00:00",4910,4899,0,2874.5,2737,489.5,0,0,3,3068.25,308,1403.75,27.25,0,7499,273,107,0,500.5,2207,36323.75
"2019-01-01 19:00:00",4889.5,4907.75,0,2861,2748.75,489.5,0,0,3,2386.75,645,1390.75,26.5,0,7099.5,273,107,0,499.5,2173.25,36045
"2019-01-01 20:00:00",4882.25,4875,0,2869.5,2732,488,0,0,3,1194.75,482,1379.25,29.5,0,6598.5,273.5,107,0,500.75,2142.25,36055.25
"2019-01-01 21:00:00",4885.5,4895.25,0,2781.75,2760.75,488.75,0,0,3,368,769.5,1364.75,33,0,6151.75,274,107,0,500,1845.25,35922.5
