"Index","Biomass.","Brown.coal.Lignite.","Coal.derived.gas.","Gas.","Hard.coal.","Oil.","Oil.shale.","Peat.","Geothermal.","PSP.","PSP.Cons.","RoR.","Hydro.Reservoir.","Marine.","Nuclear.","Other.","Other.renewable.","Solar.","Waste.","Wind.Offshore.","Wind.Onshore."
"2019-01-01 00:00:00",351,0,0,2722,0,207,0,0,0,0,1377,3552,1054,0,55627,0,0,0,253,0,1622
"2019-01-01 01:00:00",352,0,0,2526,0,215,0,0,0,0,1536,3344,740,0,55113,0,0,0,252,0,1637
"2019-01-01 02:00:00",352,0,0,2425,0,214,0,0,0,0,2372,3202,463,0,54780,0,0,0,253,0,1567
"2019-01-01 03:00:00",351,0,0,2435,0,215,0,0,0,0,2667,3086,145,0,53162,0,0,0,254,0,1556
"2019-01-01 04:00:00",353,0,0,2440,0,215,0,0,0,0,2885,3009,97,0,50137,0,0,0,255,0,1595
"2019-01-01 05:00:00",353,0,0,2434,0,215,0,0,0,0,3043,2881,119,0,48465,0,0,0,254,0,1719
"2019-01-01 06:00:00",352,0,0,2436,0,215,0,0,0,0,2956,2856,159,0,48269,0,0,0,253,0,1794
"2019-01-01 07:00:00",353,0,0,2771,0,213,0,0,0,0,2818,3093,103,0,47783,0,0,0,251,0,1780
"2019-01-01 08:00:00",352,0,0,2820,0,214,0,0,0,0,2775,3247,240,0,48379,0,0,132,251,0,1730
"2019-01-01 09:00:00",353,0,0,2825,0,215,0,0,0,0,2688,3369,541,0,49885,0,0,503,252,0,1670
"2019-01-01 10:00:00",352,0,0,2825,0,215,0,0,0,0,2645,3467,568,0,50895,0,0,1067,252,0,1589
"2019-01-01 11:00:00",352,0,0,2843,0,216,0,0,0,0,2506,3429,932,0,51689,0,0,1456,250,0,1602
"2019-01-01 12:00:00",353,0,0,2830,0,216,0,0,0,0,1448,3409,1393,0,52526,0,0,1628,251,0,1725
"2019-01-01 13:00:00",352,0,0,2807,0,215,0,0,0,0,1685,3223,835,0,52413,0,0,1747,250,0,1971
"2019-01-01 14:00:00",353,0,0,2824,0,216,0,0,0,0,2573,3132,820,0,52719,0,0,1474,250,0,2096
"2019-01-01 15:00:00",352,0,0,2838,0,215,0,0,0,0,2632,3113,386,0,52859,0,0,904,251,0,2108
"2019-01-01 16:00:00",352,0,0,2821,0,215,0,0,0,0,2758,3081,541,0,53311,0,0,324,252,0,2104
"2019-01-01 17:00:00",352,0,0,2750,0,215,0,0,0,0,1457,3468,688,0,54453,0,0,107,251,0,2185
"2019-01-01 18:00:00",353,0,0,3101,0,215,0,0,0,614,0,4287,1251,0,55312,0,0,0,252,0,2444
"2019-01-01 19:00:00",352,0,0,3209,0,215,0,0,0,936,0,4475,1273,0,55600,0,0,0,250,0,2596
"2019-01-01 20:00:00",352,0,0,3111,0,215,0,0,0,0,277,4122,1278,0,55649,0,0,0,249,0,2772
"2019-01-01 21:00:00",350,0,0,2898,0,215,0,0,0,0,1766,3762,1215,0,55435,0,0,0,248,0,3018
"2019-01-01 22:00:00",351,0,0,3164,0,216,0,0,0,0,1077,3511,1246,0,55303,0,0,0,250,0,3014
"2019-01-01 23:00:00",351,0,0,3167,0,215,0,0,0,0,1071,3227,820,0,55107,0,0,0,251,0,3011
"2019-01-02 00:00:00",351,0,0,3177,0,217,0,0,0,0,2411,2871,650,0,54788,0,0,0,253,0,3356
"2019-01-02 01:00:00",351,0,0,2886,0,218,0,0,0,0,2901,2588,538,0,54287,0,0,0,254,0,3417
"2019-01-02 02:00:00",351,0,0,2887,0,218,0,0,0,0,2717,2469,597,0,53570,0,0,0,253,0,3359
"2019-01-02 03:00:00",351,0,0,2843,0,218,0,0,0,0,2947,2473,576,0,51857,0,0,0,251,0,3281
"2019-01-02 04:00:00",352,0,0,2903,0,218,0,0,0,0,3022,2475,425,0,51689,0,0,0,247,0,3147
"2019-01-02 05:00:00",351,0,0,3205,0,218,0,0,0,0,2609,2501,542,0,53302,0,0,0,248,0,3146
"2019-01-02 06:00:00",352,0,0,4068,0,218,0,0,0,0,1553,2771,918,0,54784,0,0,0,247,0,3072
"2019-01-02 07:00:00",352,0,0,5430,0,217,0,0,0,0,630,3246,1005,0,55513,0,0,0,246,0,3138
"2019-01-02 08:00:00",351,0,0,6582,0,218,0,0,0,0,465,3745,966,0,55883,0,0,141,246,0,3179
"2019-01-02 09:00:00",351,0,0,7188,0,218,0,0,0,442,0,4148,1473,0,56021,0,0,582,246,0,3069
"2019-01-02 10:00:00",351,0,0,7447,0,218,0,0,0,570,0,4365,1617,0,56033,0,0,1432,246,0,2922
"2019-01-02 11:00:00",352,0,0,7424,0,218,0,0,0,454,0,4193,1467,0,56058,0,0,2304,244,0,2772
"2019-01-02 12:00:00",352,0,0,7380,0,218,0,0,0,649,0,4007,1469,0,56039,0,0,2788,246,0,2979
"2019-01-02 13:00:00",352,0,0,7441,0,218,0,0,0,603,0,3801,1240,0,55962,0,0,2746,249,0,3161
"2019-01-02 14:00:00",352,0,0,7544,0,218,0,0,0,455,0,3713,1174,0,55971,0,0,2325,253,0,3383
"2019-01-02 15:00:00",352,0,0,7483,0,218,0,0,0,135,0,3728,1056,0,55893,0,0,1504,257,0,3427
"2019-01-02 16:00:00",352,0,0,7472,1,218,0,0,0,33,0,4138,1284,0,55834,0,0,552,257,0,3380
"2019-01-02 17:00:00",352,0,0,7481,2,218,0,0,0,683,0,4708,1928,0,55816,0,0,119,257,0,3147
"2019-01-02 18:00:00",351,0,0,7550,2,218,0,0,0,1551,0,5012,2245,0,55971,0,0,0,257,0,3263
"2019-01-02 19:00:00",350,0,0,7614,2,218,0,0,0,1852,0,5147,2012,0,56006,0,0,0,258,0,3353
"2019-01-02 20:00:00",344,0,0,7501,2,217,0,0,0,1413,0,4842,1776,0,55966,0,0,0,259,0,3252
"2019-01-02 21:00:00",351,0,0,7395,2,218,0,0,0,452,0,4568,1524,0,55980,0,0,0,257,0,3198
"2019-01-02 22:00:00",351,0,0,7071,2,218,0,0,0,1059,0,4281,1112,0,55787,0,0,0,257,0,3073
"2019-01-02 23:00:00",351,0,0,7236,2,217,0,0,0,622,0,3994,1096,0,55826,0,0,0,260,0,3077
"2019-01-03 00:00:00",351,0,0,6673,46,218,0,0,0,0,575,3483,1022,0,55663,0,0,0,260,0,3043
"2019-01-03 01:00:00",351,0,0,6016,46,217,0,0,0,0,1765,3100,841,0,55467,0,0,0,259,0,2952
"2019-01-03 02:00:00",351,0,0,5986,46,218,0,0,0,0,2249,2939,449,0,55489,0,0,0,259,0,2875
"2019-01-03 03:00:00",351,0,0,5672,46,218,0,0,0,0,2722,2774,386,0,55561,0,0,0,260,0,2803
"2019-01-03 04:00:00",351,0,0,5584,46,218,0,0,0,0,2755,2735,342,0,55473,0,0,0,259,0,2763
"2019-01-03 05:00:00",351,0,0,5815,46,217,0,0,0,0,1907,2749,530,0,55755,0,0,0,255,0,2650
"2019-01-03 06:00:00",351,0,0,7172,46,217,0,0,0,89,0,3059,1077,0,55737,0,0,0,253,0,2541
"2019-01-03 07:00:00",351,0,0,7242,46,217,0,0,0,361,0,3601,1819,0,55863,0,0,0,255,0,2513
"2019-01-03 08:00:00",353,0,0,7307,46,217,0,0,0,1001,0,4174,1923,0,56015,0,0,146,256,0,2511
"2019-01-03 09:00:00",353,0,0,7293,44,217,0,0,0,652,0,4481,2239,0,56174,0,0,796,259,0,2381
"2019-01-03 10:00:00",352,0,0,7262,44,217,0,0,0,593,0,4648,2201,0,56186,0,0,2087,255,0,2043
"2019-01-03 11:00:00",351,0,0,7268,44,217,0,0,0,799,0,4493,1877,0,56172,0,0,3141,254,0,1739
"2019-01-03 12:00:00",349,0,0,7228,45,217,0,0,0,805,0,4432,1616,0,56135,0,0,3655,257,0,1756
"2019-01-03 13:00:00",350,0,0,7164,44,218,0,0,0,569,0,4279,1379,0,56120,0,0,3641,258,0,2077
"2019-01-03 14:00:00",351,0,0,7147,44,218,0,0,0,383,0,4224,1440,0,56087,0,0,3088,258,0,2444
"2019-01-03 15:00:00",350,0,0,7324,43,218,0,0,0,438,0,4160,1537,0,56066,0,0,1959,257,0,2536
"2019-01-03 16:00:00",351,0,0,7293,43,217,0,0,0,625,0,4167,1897,0,56040,0,0,674,258,0,2554
"2019-01-03 17:00:00",351,0,0,7245,40,217,0,0,0,1861,0,4784,2330,0,55882,0,0,120,258,0,2661
"2019-01-03 18:00:00",351,0,0,7191,36,217,0,0,0,2062,0,5415,2441,0,55949,0,0,0,258,0,2872
"2019-01-03 19:00:00",351,0,0,7233,36,217,0,0,0,2157,0,5468,2921,0,56045,0,0,0,259,0,2935
"2019-01-03 20:00:00",351,0,0,7199,35,217,0,0,0,1462,0,4917,2299,0,56044,0,0,0,259,0,2966
"2019-01-03 21:00:00",351,0,0,7259,37,217,0,0,0,478,0,4475,1671,0,55999,0,0,0,260,0,2958
"2019-01-03 22:00:00",351,0,0,7273,38,217,0,0,0,1206,0,4194,1123,0,55985,0,0,0,260,0,2961
"2019-01-03 23:00:00",351,0,0,7150,39,217,0,0,0,1086,0,4144,1207,0,55821,0,0,0,261,0,2890
"2019-01-04 00:00:00",351,0,0,7263,38,216,0,0,0,0,203,3818,1331,0,55871,0,0,0,261,0,2827
"2019-01-04 01:00:00",351,0,0,7247,131,217,0,0,0,0,1333,3404,921,0,55836,0,0,0,260,0,2839
"2019-01-04 02:00:00",351,0,0,7187,239,217,0,0,0,0,2045,3158,885,0,55822,0,0,0,259,0,2835
"2019-01-04 03:00:00",351,0,0,6878,298,217,0,0,0,0,2883,3048,446,0,55503,0,0,0,259,0,2868
"2019-01-04 04:00:00",349,0,0,6362,332,216,0,0,0,0,2739,2995,389,0,55337,0,0,0,259,0,2834
"2019-01-04 05:00:00",343,0,0,7177,351,216,0,0,0,0,2061,2985,484,0,55717,0,0,0,258,0,2877
"2019-01-04 06:00:00",342,0,0,7303,396,216,0,0,0,0,90,3267,1458,0,55806,0,0,0,256,0,2935
"2019-01-04 07:00:00",342,0,0,7263,583,217,0,0,0,643,0,3935,2460,0,55977,0,0,0,255,0,2978
"2019-01-04 08:00:00",342,0,0,7363,574,216,0,0,0,1403,0,4439,2491,0,56081,0,0,141,254,0,2848
"2019-01-04 09:00:00",342,0,0,7403,613,217,0,0,0,1838,0,4953,2611,0,56144,0,0,617,254,0,2570
