"Index","Actual.Total.Load.FR"
"2018-01-01 00:00:00",57638
"2018-01-01 01:00:00",56036
"2018-01-01 02:00:00",54494
"2018-01-01 03:00:00",51574
"2018-01-01 04:00:00",49370
"2018-01-01 05:00:00",49000
"2018-01-01 06:00:00",49333
"2018-01-01 07:00:00",49528
"2018-01-01 08:00:00",49360
"2018-01-01 09:00:00",50058
"2018-01-01 10:00:00",51855
"2018-01-01 11:00:00",54412
"2018-01-01 12:00:00",57142
"2018-01-01 13:00:00",56650
"2018-01-01 14:00:00",54628
"2018-01-01 15:00:00",53357
"2018-01-01 16:00:00",53522
"2018-01-01 17:00:00",56686
"2018-01-01 18:00:00",60125
"2018-01-01 19:00:00",61285
"2018-01-01 20:00:00",59658
"2018-01-01 21:00:00",57597
"2018-01-01 22:00:00",58405
"2018-01-01 23:00:00",59383
"2018-01-02 00:00:00",56745
"2018-01-02 01:00:00",54574
"2018-01-02 02:00:00",53222
"2018-01-02 03:00:00",50818
"2018-01-02 04:00:00",50129
"2018-01-02 05:00:00",52338
"2018-01-02 06:00:00",56444
"2018-01-02 07:00:00",60260
"2018-01-02 08:00:00",62913
"2018-01-02 09:00:00",64712
"2018-01-02 10:00:00",66170
"2018-01-02 11:00:00",67635
"2018-01-02 12:00:00",68827
"2018-01-02 13:00:00",67686
"2018-01-02 14:00:00",65983
"2018-01-02 15:00:00",64144
"2018-01-02 16:00:00",63700
"2018-01-02 17:00:00",65924
"2018-01-02 18:00:00",68326
"2018-01-02 19:00:00",67828
"2018-01-02 20:00:00",64126
"2018-01-02 21:00:00",60411
"2018-01-02 22:00:00",60433
"2018-01-02 23:00:00",61401
"2018-01-03 00:00:00",58355
"2018-01-03 01:00:00",55309
"2018-01-03 02:00:00",53553
"2018-01-03 03:00:00",50731
"2018-01-03 04:00:00",49848
"2018-01-03 05:00:00",51978
"2018-01-03 06:00:00",56555
"2018-01-03 07:00:00",60765
"2018-01-03 08:00:00",63957
"2018-01-03 09:00:00",65285
"2018-01-03 10:00:00",66301
"2018-01-03 11:00:00",67195
"2018-01-03 12:00:00",68585
