"Index","Biomass.","Brown.coal.Lignite.","Coal.derived.gas.","Gas.","Hard.coal.","Oil.","Oil.shale.","Peat.","Geothermal.","PSP.","PSP.Cons.","RoR.","Hydro.Reservoir.","Marine.","Nuclear.","Other.","Other.renewable.","Solar.","Waste.","Wind.Offshore.","Wind.Onshore."
"2017-01-01 00:00:00",289,0,0,8199,1565,1,0,0,686,0,375,1860,391,0,0,12171,0,0,29,0,1044
"2017-01-01 01:00:00",285,0,0,8177,1567,0,0,0,687,0,871,1448,237,0,0,12057,0,0,28,0,870
"2017-01-01 02:00:00",281,0,0,7801,1565,0,0,0,689,0,929,1212,217,0,0,11491,0,0,28,0,740
"2017-01-01 03:00:00",281,0,0,6298,1559,0,0,0,689,0,1376,1105,73,0,0,10372,0,0,29,0,631
"2017-01-01 04:00:00",282,0,0,6117,1564,0,0,0,690,0,1496,1102,71,0,0,9258,0,0,29,0,614
"2017-01-01 05:00:00",281,0,0,6249,1563,0,0,0,690,0,1593,1080,72,0,0,9467,0,0,30,0,577
"2017-01-01 06:00:00",283,0,0,6214,1560,0,0,0,690,0,1589,1110,73,0,0,10263,0,0,29,0,529
"2017-01-01 07:00:00",278,0,0,6239,1560,0,0,0,686,0,1575,1214,96,0,0,10231,0,55,28,0,465
"2017-01-01 08:00:00",282,0,0,5813,1564,0,0,0,687,0,1654,1353,229,0,0,9883,0,1108,28,0,410
"2017-01-01 09:00:00",284,0,17,5284,1558,4,0,0,686,0,1540,1521,207,0,0,9379,0,3237,28,0,286
"2017-01-01 10:00:00",283,0,15,5054,1464,17,0,0,685,0,1158,1611,162,0,0,8968,0,5316,28,0,245
"2017-01-01 11:00:00",285,0,30,5111,1518,30,0,0,683,0,1153,1530,112,0,0,8954,0,6368,29,0,298
"2017-01-01 12:00:00",283,0,0,5646,1433,53,0,0,682,0,1131,1480,179,0,0,9733,0,6506,30,0,426
"2017-01-01 13:00:00",282,0,1,5375,1361,59,0,0,681,0,1132,1272,155,0,0,9288,0,5812,28,0,587
"2017-01-01 14:00:00",281,0,3,5333,1317,59,0,0,683,0,1130,1220,147,0,0,9367,0,3861,27,0,666
"2017-01-01 15:00:00",282,0,5,5968,1556,59,0,0,684,0,988,1231,162,0,0,10619,0,1652,28,0,738
"2017-01-01 16:00:00",281,0,3,7069,1568,103,0,0,684,6,330,1576,252,0,0,11828,0,163,29,0,959
"2017-01-01 17:00:00",281,0,19,8304,1572,67,0,0,684,496,6,1874,384,0,0,12517,0,0,28,0,1206
"2017-01-01 18:00:00",283,0,40,8489,1568,59,0,0,683,681,6,2759,635,0,0,12780,0,0,25,0,1341
"2017-01-01 19:00:00",279,0,50,8534,1565,62,0,0,684,1038,6,3116,615,0,0,13009,0,0,26,0,1330
"2017-01-01 20:00:00",278,0,56,8587,1567,85,0,0,685,930,6,2980,649,0,0,12997,0,0,28,0,1348
"2017-01-01 21:00:00",280,0,59,8774,1560,67,0,0,684,65,6,2297,583,0,0,12776,0,0,27,0,1505
"2017-01-01 22:00:00",281,0,41,8847,1558,66,0,0,685,0,217,1819,367,0,0,12601,0,0,27,0,1549
"2017-01-01 23:00:00",270,0,65,8264,1556,61,0,0,684,0,400,1441,320,0,0,11799,0,0,27,0,1523
"2017-01-02 00:00:00",197,0,0,5282,1556,50,0,0,506,0,297,1082,249,0,0,11016,0,0,27,0,1618
"2017-01-02 01:00:00",267,0,0,5668,1533,81,0,0,670,0,1247,1141,125,0,0,10618,0,1,27,0,1594
