"Index","Biomass.","Brown.coal.Lignite.","Coal.derived.gas.","Gas.","Hard.coal.","Oil.","Oil.shale.","Peat.","Geothermal.","PSP.","PSP.Cons.","RoR.","Hydro.Reservoir.","Marine.","Nuclear.","Other.","Other.renewable.","Solar.","Waste.","Wind.Offshore.","Wind.Onshore."
"2017-01-01 00:00:00",300,0,0,2178.5,159.75,0,0,0,0,0,905,1496,603.75,0,0,22,0,0,100,0,92.75
"2017-01-01 01:00:00",300,0,0,1522,159.75,0,0,0,0,0,983.25,1520.5,550,0,0,22,0,0,100,0,86.25
"2017-01-01 02:00:00",300,0,0,1383.5,160.25,0,0,0,0,0,1066.75,1513,300.75,0,0,22,0,0,100,0,72.25
"2017-01-01 03:00:00",300,0,0,1352.25,160,0,0,0,0,0,1325.5,1467.25,211.25,0,0,22,0,0,100,0,73.25
"2017-01-01 04:00:00",300,0,0,1340.75,159.75,0,0,0,0,0,993.25,1473,170,0,0,22,0,0,100,0,69.25
"2017-01-01 05:00:00",300,0,0,1312.5,160,0,0,0,0,0,955.5,1417.5,208,0,0,22,0,0,100,0,77.25
"2017-01-01 06:00:00",300,0,0,1295.5,159.5,0,0,0,0,0,1245.75,1422.25,270.75,0,0,22,0,0,100,0,73
"2017-01-01 07:00:00",300,0,0,1348,160,0,0,0,0,0,1418.75,1568.25,175.75,0,0,22,0,8,100,0,64.75
"2017-01-01 08:00:00",300,0,0,1350.25,160,0,0,0,0,0,1316.75,1600.5,128.5,0,0,22,0,17.25,100,0,54.75
"2017-01-01 09:00:00",299,0,0,1415.75,159.75,0,0,0,0,0,1261,1602.25,140.75,0,0,22,0,56.5,100,0,60.25
"2017-01-01 10:00:00",300,0,0,1529.25,160.25,0,0,0,0,0,1115.75,1607.75,134,0,0,22,0,114.25,100,0,59.5
"2017-01-01 11:00:00",300,0,0,1606,156,0,0,0,0,0,1145.25,1611.75,100,0,0,22,0,161.75,100,0,49.75
"2017-01-01 12:00:00",300,0,0,1605.5,154.75,0,0,0,0,0,987.75,1607.75,114.75,0,0,22,0,179.5,100,0,42.5
"2017-01-01 13:00:00",300,0,0,1654.5,155,0,0,0,0,0,997.25,1622,187.75,0,0,22,0,161,100,0,48
"2017-01-01 14:00:00",300,0,0,1860.75,155,0,0,0,0,0,845,1635.75,506.25,0,0,22,0,113.5,100,0,42.5
"2017-01-01 15:00:00",300,0,0,2150.5,154.75,0,0,0,0,763.5,0,1606.25,312,0,0,22,0,54.75,100,0,53.5
"2017-01-01 16:00:00",300,0,0,2596,162.25,0,0,0,0,1862.25,0,1762.25,615.75,0,0,22,0,17,100,0,59.75
"2017-01-01 17:00:00",300,0,0,2705.75,170.5,0,0,0,0,2208.75,0,1837.25,656.25,0,0,22,0,8,100,0,55.75
"2017-01-01 18:00:00",300,0,0,2822.25,167.25,0,0,0,0,2645.75,0,1840.75,853,0,0,22,0,8,100,0,42.25
"2017-01-01 19:00:00",300,0,0,2787,167,0,0,0,0,2132.25,0,1770.25,669,0,0,22,0,0,100,0,36
"2017-01-01 20:00:00",300,0,0,2808,167.5,0,0,0,0,990.5,0,1711.5,394.25,0,0,22,0,0,100,0,36
"2017-01-01 21:00:00",300,0,0,2747,162.75,0,0,0,0,458.5,0,1556.5,235,0,0,22,0,0,100,0,34
"2017-01-01 22:00:00",300,0,0,2713.25,155.5,0,0,0,0,534.25,0,1464,369.75,0,0,22,0,0,100,0,43.25
"2017-01-01 23:00:00",300,0,0,2605.75,156.25,0,0,0,0,0,431.25,1409,404.75,0,0,22,0,0,100,0,42.75
