Index,Biomass.,Brown.coal.Lignite.,Coal.derived.gas.,Gas.,Hard.coal.,Oil.,Oil.shale.,Peat.,Geothermal.,PSP.,PSP.Cons.,RoR.,Hydro.Reservoir.,Marine.,Nuclear.,Other.,Other.renewable.,Solar.,Waste.,Wind.Offshore.,Wind.Onshore.
1/1/2017 0:00,0,0,0,0,0,0,0,0,0,337,0,29,916,0,1742,0,0,0,0,0,3
1/1/2017 1:00,0,0,0,0,0,0,0,0,0,149,0,29,1019,0,1743,0,0,0,0,0,3
1/1/2017 2:00,0,0,0,0,0,0,0,0,0,152,0,29,685,0,1742,0,0,0,0,0,3
1/1/2017 3:00,0,0,0,0,0,0,0,0,0,157,0,28,591,0,1741,0,0,0,0,0,3
1/1/2017 4:00,0,0,0,0,0,0,0,0,0,147,0,28,563,0,1742,0,0,0,0,0,3
1/1/2017 5:00,0,0,0,0,0,0,0,0,0,118,0,28,505,0,1741,0,0,0,0,0,3
1/1/2017 6:00,0,0,0,0,0,0,0,0,0,59,0,28,502,0,1740,0,0,0,0,0,3
1/1/2017 7:00,0,0,0,0,0,0,0,0,0,82,0,28,552,0,1740,0,0,0,0,0,2
1/1/2017 8:00,0,0,0,0,0,0,0,0,0,50,0,28,506,0,1739,0,0,2,0,0,2
1/1/2017 9:00,0,0,0,0,0,0,0,0,0,42,0,28,699,0,1741,0,0,19,0,0,3
1/1/2017 10:00,0,0,0,0,0,0,0,0,0,103,0,28,691,0,1741,0,0,46,0,0,3
1/1/2017 11:00,0,0,0,0,0,0,0,0,0,120,0,28,762,0,1741,0,0,68,0,0,3
1/1/2017 12:00,0,0,0,0,0,0,0,0,0,127,0,29,479,0,1745,0,0,80,0,0,2
1/1/2017 13:00,0,0,0,0,0,0,0,0,0,127,0,28,510,0,1740,0,0,77,0,0,1
1/1/2017 14:00,0,0,0,0,0,0,0,0,0,128,0,28,994,0,1740,0,0,58,0,0,2
1/1/2017 15:00,0,0,0,0,0,0,0,0,0,94,0,28,859,0,1743,0,0,27,0,0,3
1/1/2017 16:00,0,0,0,0,0,0,0,0,0,114,0,29,687,0,1739,0,0,4,0,0,3
1/1/2017 17:00,0,0,0,0,0,0,0,0,0,171,0,30,1069,0,1746,0,0,0,0,0,5
1/1/2017 18:00,0,0,0,0,0,0,0,0,0,269,0,30,1852,0,1748,0,0,0,0,0,14
1/1/2017 19:00,0,0,0,0,0,0,0,0,0,267,0,30,2126,0,1747,0,0,0,0,0,15
1/1/2017 20:00,0,0,0,0,0,0,0,0,0,278,0,30,1271,0,1745,0,0,0,0,0,13
1/1/2017 21:00,0,0,0,0,0,0,0,0,0,211,0,30,1347,0,1742,0,0,0,0,0,11
1/1/2017 22:00,0,0,0,0,0,0,0,0,0,208,0,30,1011,0,1742,0,0,0,0,0,12
1/1/2017 23:00,0,0,0,0,0,0,0,0,0,120,0,30,551,0,1743,0,0,0,0,0,12
1/2/2017 0:00,0,0,0,0,0,0,0,0,0,177,0,30,568,0,1743,0,0,0,0,0,14
1/2/2017 1:00,0,0,0,0,0,0,0,0,0,149,0,29,469,0,1741,0,0,0,0,0,18
1/2/2017 2:00,0,0,0,0,0,0,0,0,0,195,0,27,468,0,1742,0,0,0,0,0,16
1/2/2017 3:00,0,0,0,0,0,0,0,0,0,160,0,27,459,0,1740,0,0,0,0,0,18
1/2/2017 4:00,0,0,0,0,0,0,0,0,0,174,0,27,460,0,1740,0,0,0,0,0,19
1/2/2017 5:00,0,0,0,0,0,0,0,0,0,183,0,28,498,0,1740,0,0,0,0,0,17
1/2/2017 6:00,0,0,0,0,0,0,0,0,0,208,0,28,444,0,1738,0,0,0,0,0,13
1/2/2017 7:00,0,0,0,0,0,0,0,0,0,265,0,28,810,0,1740,0,0,0,0,0,11
1/2/2017 8:00,0,0,0,0,0,0,0,0,0,348,0,27,1870,0,1738,0,0,2,0,0,9
1/2/2017 9:00,0,0,0,0,0,0,0,0,0,278,0,28,1860,0,1739,0,0,18,0,0,9
1/2/2017 10:00,0,0,0,0,0,0,0,0,0,295,0,28,1856,0,1740,0,0,37,0,0,6
1/2/2017 11:00,0,0,0,0,0,0,0,0,0,262,0,28,1917,0,1739,0,0,58,0,0,5
1/2/2017 12:00,0,0,0,0,0,0,0,0,0,300,0,28,1785,0,1739,0,0,66,0,0,3
