"Index","Biomass.","Brown.coal.Lignite.","Coal.derived.gas.","Gas.","Hard.coal.","Oil.","Oil.shale.","Peat.","Geothermal.","PSP.","PSP.Cons.","RoR.","Hydro.Reservoir.","Marine.","Nuclear.","Other.","Other.renewable.","Solar.","Waste.","Wind.Offshore.","Wind.Onshore."
"2018-01-01 00:00:00",4779.25,6723.75,0,2406.25,1711,187.75,0,0,3,354,1014.5,1739,44.75,0,5853.75,329,144,0,368.75,2917.5,28660.25
"2018-01-01 01:00:00",4764.5,6810,0,2406.25,1609.25,188,0,0,3,738.5,793.75,1629.5,46.75,0,4754,328.25,144,0,352,2999.25,30105.5
"2018-01-01 02:00:00",4766.75,6765.75,0,2398.25,1683.25,187.75,0,0,3,441,1306,1623.25,48.75,0,4591,325.75,143,0,309.5,3096,30772.75
"2018-01-01 03:00:00",4771,6728,0,2414.5,1679.5,187,0,0,3,5.25,2607.5,1613.25,45,0,4888.75,322,143,0,303.75,3136.75,31641.5
"2018-01-01 04:00:00",4776.5,6709.75,0,2410.5,1677.5,188,0,0,3,6.25,3505.5,1607.75,46.25,0,4696.5,322,143,0,332.25,3212,31529
"2018-01-01 05:00:00",4768.75,6727.5,0,2392.75,1682,187.5,0,0,3,9,3728.25,1600.75,47.5,0,4830.75,322.5,143,0,356.5,3281.5,32063
"2018-01-01 06:00:00",4781,6666.25,0,2303.75,1689,188,0,0,3,415.75,3672.25,1594.5,43.5,0,4762.5,322,143,0,351.25,3291,31447.25
"2018-01-01 07:00:00",4793.75,6579.5,0,2267.25,1678.75,188,0,0,3,415.5,3722.75,1579.5,43.5,0,4639,322,143,0,353.25,3281.75,30918
"2018-01-01 08:00:00",4810,6506.5,0,2250.75,1508,188,0,0,3,417,3300,1570.25,43,0,4616.25,322,143,173.5,351.75,3284.75,30311
"2018-01-01 09:00:00",4848.75,6537.25,0,2415.75,1516,188.5,0,0,3,420.5,2704.75,1566.5,44,0,4657.25,322,143,1565,344,3277.25,30811.5
"2018-01-01 10:00:00",4866.5,6569.75,0,2492.75,1543.75,188,0,0,3,481.75,1830.75,1578.5,44.75,0,4857,322,143,4036.75,344,3195.5,31738.5
"2018-01-01 11:00:00",4863.5,6594.75,0,2506.25,1564,188,0,0,3,421,1608.5,1582.5,47.5,0,4826.25,322,143,6000,349,3252.75,32299.5
