"Index","Actual.Total.Load.DE"
"2017-01-01 00:00:00",44801.75
"2017-01-01 01:00:00",43571.75
"2017-01-01 02:00:00",42396.5
"2017-01-01 03:00:00",40984.75
"2017-01-01 04:00:00",40186.75
"2017-01-01 05:00:00",38921
"2017-01-01 06:00:00",37450
"2017-01-01 07:00:00",37841.75
"2017-01-01 08:00:00",38746.75
"2017-01-01 09:00:00",41679.75
"2017-01-01 10:00:00",44315.5
"2017-01-01 11:00:00",46682
"2017-01-01 12:00:00",44370.75
"2017-01-01 13:00:00",40633.75
"2017-01-01 14:00:00",40869.25
"2017-01-01 15:00:00",41919.25
"2017-01-01 16:00:00",44071.75
"2017-01-01 17:00:00",47871.75
"2017-01-01 18:00:00",48603
"2017-01-01 19:00:00",47589.25
"2017-01-01 20:00:00",44974.25
"2017-01-01 21:00:00",42994.25
"2017-01-01 22:00:00",42956.25
"2017-01-01 23:00:00",40738.75
"2017-01-02 00:00:00",38455.75
"2017-01-02 01:00:00",36478
"2017-01-02 02:00:00",35757.75
"2017-01-02 03:00:00",35649.5
"2017-01-02 04:00:00",37079
"2017-01-02 05:00:00",39853.5
"2017-01-02 06:00:00",46037.5
"2017-01-02 07:00:00",52260.75
"2017-01-02 08:00:00",56425.5
"2017-01-02 09:00:00",61319.75
"2017-01-02 10:00:00",65792
"2017-01-02 11:00:00",67038.75
"2017-01-02 12:00:00",67219.75
"2017-01-02 13:00:00",66089.25
"2017-01-02 14:00:00",64956.75
"2017-01-02 15:00:00",64323.75
"2017-01-02 16:00:00",65191
"2017-01-02 17:00:00",68222.75
"2017-01-02 18:00:00",67793.5
"2017-01-02 19:00:00",66750.25
"2017-01-02 20:00:00",62812.5
"2017-01-02 21:00:00",59461
"2017-01-02 22:00:00",58055
"2017-01-02 23:00:00",54447.5
"2017-01-03 00:00:00",51411.25
"2017-01-03 01:00:00",48770.5
"2017-01-03 02:00:00",47630.5
"2017-01-03 03:00:00",47607.75
"2017-01-03 04:00:00",48460
"2017-01-03 05:00:00",50772.5
"2017-01-03 06:00:00",56173.75
"2017-01-03 07:00:00",62218.25
"2017-01-03 08:00:00",65898
"2017-01-03 09:00:00",67425
"2017-01-03 10:00:00",68832.25
"2017-01-03 11:00:00",70232.75
"2017-01-03 12:00:00",70224.25
