"Index","Biomass.","Brown.coal.Lignite.","Coal.derived.gas.","Gas.","Hard.coal.","Oil.","Oil.shale.","Peat.","Geothermal.","PSP.","PSP.Cons.","RoR.","Hydro.Reservoir.","Marine.","Nuclear.","Other.","Other.renewable.","Solar.","Waste.","Wind.Offshore.","Wind.Onshore."
"2019-01-01 00:00:00",495,0,776,8053,1938,8,0,0,674,1,29,1891,289,0,0,3070,0,0,37,0,5076
"2019-01-01 01:00:00",501,0,775,7614,2090,8,0,0,673,0,72,1708,145,0,0,3092,0,0,41,0,5088
"2019-01-01 02:00:00",499,0,773,7090,2177,8,0,0,673,0,138,1613,164,0,0,2859,0,0,36,0,5086
"2019-01-01 03:00:00",503,0,774,6032,1827,8,0,0,672,0,306,1481,126,0,0,2452,0,0,41,0,5131
"2019-01-01 04:00:00",509,0,774,5795,1714,8,0,0,674,0,529,1475,124,0,0,2376,0,0,38,0,5235
"2019-01-01 05:00:00",509,0,774,6175,1712,8,0,0,674,0,884,1485,116,0,0,2545,0,0,34,0,4950
"2019-01-01 06:00:00",509,0,775,5995,1717,8,0,0,674,0,817,1439,134,0,0,2746,0,0,35,0,4741
"2019-01-01 07:00:00",507,0,774,5869,1713,8,0,0,673,0,483,1570,109,0,0,2468,0,44,37,0,4418
"2019-01-01 08:00:00",519,0,775,5174,1706,8,0,0,672,0,878,1877,272,0,0,2283,0,1052,33,0,4210
"2019-01-01 09:00:00",513,0,774,5209,1725,8,0,0,673,0,1281,2030,257,0,0,2169,0,2840,34,0,3656
"2019-01-01 10:00:00",517,0,774,5172,1777,8,0,0,673,170,930,2028,259,0,0,2108,0,4601,37,0,3262
"2019-01-01 11:00:00",522,0,769,5134,1726,8,0,0,673,244,321,1771,253,0,0,2188,0,5270,34,0,3477
"2019-01-01 12:00:00",527,0,770,5507,1739,8,0,0,670,244,262,1804,149,0,0,2459,0,5453,40,0,3892
"2019-01-01 13:00:00",529,0,768,5802,1729,8,0,0,669,198,143,1726,178,0,0,2374,0,4925,40,0,3460
"2019-01-01 14:00:00",520,0,763,5530,1819,8,0,0,667,162,537,1651,150,0,0,2234,0,3427,39,0,3213
"2019-01-01 15:00:00",524,0,761,5941,1766,8,0,0,668,341,0,1723,208,0,0,2588,0,1788,36,0,3308
"2019-01-01 16:00:00",517,0,761,7689,1773,19,0,0,669,232,0,2603,421,0,0,2853,0,225,37,0,3468
"2019-01-01 17:00:00",524,0,766,8901,1765,58,0,0,671,976,0,3637,888,0,0,2989,0,1,36,0,3078
"2019-01-01 18:00:00",522,0,777,9253,1767,67,0,0,673,1310,1,4131,675,0,0,3018,0,0,37,0,3058
"2019-01-01 19:00:00",520,0,771,9440,1754,67,0,0,671,1215,1,4321,906,0,0,3019,0,0,39,0,3124
"2019-01-01 20:00:00",520,0,776,9757,1804,67,0,0,669,1217,1,3217,1122,0,0,2886,0,0,39,0,3091
"2019-01-01 21:00:00",506,0,778,10024,1820,67,0,0,669,863,1,2627,708,0,0,2877,0,0,39,0,2923
"2019-01-01 22:00:00",496,0,777,10282,1768,67,0,0,669,3,1,2283,458,0,0,2769,0,0,37,0,2674
"2019-01-01 23:00:00",510,0,774,8930,1751,66,0,0,668,0,3,1994,189,0,0,2644,0,0,38,0,2362
"2019-01-02 00:00:00",516,0,0,6995,1753,66,0,0,666,0,30,1596,122,0,0,2701,0,0,40,0,2202
"2019-01-02 01:00:00",517,0,0,6029,1724,67,0,0,667,0,270,1425,99,0,0,2490,0,0,38,0,2255
"2019-01-02 02:00:00",521,0,0,5478,1712,67,0,0,666,0,737,1368,98,0,0,2407,0,0,41,0,2412
"2019-01-02 03:00:00",522,0,0,5341,1689,67,0,0,666,0,1425,1340,98,0,0,2281,0,0,37,0,2719
"2019-01-02 04:00:00",521,0,0,5611,1690,67,0,0,666,0,1808,1391,98,0,0,2302,0,0,36,0,3179
"2019-01-02 05:00:00",518,0,0,6472,1742,66,0,0,667,0,1853,1392,118,0,0,2572,0,0,38,0,3248
"2019-01-02 06:00:00",519,0,0,8099,1835,67,0,0,667,0,772,1429,142,0,0,2999,0,0,38,0,2904
"2019-01-02 07:00:00",503,0,0,10713,2402,66,0,0,667,0,12,2046,522,0,0,3391,0,53,37,0,2654
"2019-01-02 08:00:00",503,0,0,11743,2577,66,0,0,666,1610,1,2797,810,0,0,3452,0,739,37,0,2131
"2019-01-02 09:00:00",505,0,0,13043,2661,67,0,0,664,1519,1,2987,753,0,0,3485,0,2284,37,0,1777
"2019-01-02 10:00:00",492,0,0,13377,2789,69,0,0,665,453,1,2814,755,0,0,3458,0,3273,37,0,1735
"2019-01-02 11:00:00",510,0,0,13739,2779,74,0,0,667,31,1,2600,700,0,0,3387,0,3921,39,0,1718
"2019-01-02 12:00:00",514,0,0,13927,2694,67,0,0,667,0,2,2190,688,0,0,3476,0,5048,41,0,2110
"2019-01-02 13:00:00",522,0,0,12364,2477,67,0,0,667,0,2,1969,331,0,0,3167,0,5033,41,0,3380
"2019-01-02 14:00:00",522,0,0,11538,2422,67,0,0,659,0,2,1913,330,0,0,3164,0,3738,39,0,4997
"2019-01-02 15:00:00",521,0,0,12393,2583,83,0,0,661,1,1,2193,669,0,0,3486,0,1500,40,0,5294
"2019-01-02 16:00:00",519,0,0,14106,2383,131,0,0,661,725,1,3004,970,0,0,3618,0,171,39,0,4874
"2019-01-02 17:00:00",525,0,0,15172,2386,109,0,0,661,1945,1,4019,1213,0,0,3644,0,0,40,0,4165
"2019-01-02 18:00:00",520,0,0,15317,2445,67,0,0,661,1739,1,4203,1277,0,0,3602,0,0,37,0,4365
"2019-01-02 19:00:00",517,0,0,14784,2291,67,0,0,673,2003,1,3778,1229,0,0,3511,0,0,37,0,4711
"2019-01-02 20:00:00",501,0,0,14684,2244,67,0,0,675,553,1,3116,858,0,0,3467,0,0,40,0,5079
"2019-01-02 21:00:00",515,0,0,13684,2316,65,0,0,675,131,1,2480,558,0,0,3366,0,1,39,0,4975
"2019-01-02 22:00:00",508,0,0,11918,2111,8,0,0,674,0,15,2176,543,0,0,3145,0,1,40,0,4908
"2019-01-02 23:00:00",490,0,0,9750,1752,8,0,0,674,0,194,1760,382,0,0,2781,0,1,42,0,5276
"2019-01-03 00:00:00",510,0,0,8309,1551,21,0,0,674,0,219,1525,219,0,0,0,0,0,40,0,5709
"2019-01-03 01:00:00",518,0,0,8002,1462,21,0,0,676,0,469,1451,264,0,0,0,0,1,39,0,5544
"2019-01-03 02:00:00",521,0,0,7925,1458,21,0,0,675,0,643,1426,331,0,0,0,0,1,40,0,4954
"2019-01-03 03:00:00",509,0,0,7908,1457,21,0,0,676,0,778,1357,329,0,0,0,0,0,41,0,4964
"2019-01-03 04:00:00",509,0,0,7954,1455,21,0,0,676,0,775,1416,332,0,0,0,0,0,42,0,5075
"2019-01-03 05:00:00",515,0,0,8716,1474,21,0,0,676,0,744,1418,368,0,0,0,0,0,43,0,5142
"2019-01-03 06:00:00",516,0,0,9691,1624,21,0,0,676,0,203,1427,327,0,0,0,0,0,39,0,5830
"2019-01-03 07:00:00",515,0,0,12132,2011,21,0,0,676,23,1,2144,794,0,0,0,0,13,38,0,5724
"2019-01-03 08:00:00",516,0,0,13001,2250,21,0,0,676,420,1,3140,1113,0,0,0,0,871,39,0,5577
"2019-01-03 09:00:00",516,0,0,13252,2216,21,0,0,673,872,27,3251,1158,0,0,0,0,2972,40,0,5465
"2019-01-03 10:00:00",481,0,0,13109,2168,21,0,0,673,100,112,2868,800,0,0,0,0,5060,41,0,5957
"2019-01-03 11:00:00",503,0,0,13605,2038,21,0,0,672,25,168,2166,423,0,0,0,0,5804,42,0,6084
"2019-01-03 12:00:00",516,0,0,14164,2002,21,0,0,673,3,193,1873,460,0,0,0,0,5616,42,0,6168
"2019-01-03 13:00:00",519,0,0,14305,1896,21,0,0,673,0,245,1752,459,0,0,0,0,5266,41,0,6092
"2019-01-03 14:00:00",521,0,0,14538,2032,21,0,0,672,0,238,1969,515,0,0,0,0,3922,40,0,5965
"2019-01-03 15:00:00",520,0,0,15875,2081,21,0,0,672,25,149,2132,576,0,0,0,0,1728,41,0,5864
"2019-01-03 16:00:00",516,0,0,16875,2176,29,0,0,674,79,84,2960,874,0,0,0,0,212,38,0,5860
"2019-01-03 17:00:00",520,0,0,17414,2204,71,0,0,674,880,19,4240,1027,0,0,0,0,1,38,0,5745
"2019-01-03 18:00:00",519,0,0,17230,2195,83,0,0,674,926,1,4639,1244,0,0,0,0,0,39,0,5786
"2019-01-03 19:00:00",520,0,0,17105,2182,85,0,0,675,675,1,4511,1107,0,0,0,0,0,40,0,5638
"2019-01-03 20:00:00",523,0,0,16573,2196,101,0,0,674,292,1,3070,703,0,0,0,0,0,39,0,5703
"2019-01-03 21:00:00",527,0,0,15006,2166,137,0,0,674,94,1,2362,542,0,0,0,0,0,41,0,5557
"2019-01-03 22:00:00",524,0,0,12773,2065,148,0,0,674,0,67,2033,287,0,0,0,0,1,40,0,5616
"2019-01-03 23:00:00",506,0,0,11492,1863,81,0,0,675,0,175,1649,317,0,0,0,0,1,39,0,5424
"2019-01-04 00:00:00",518,0,0,9580,1732,79,0,0,675,0,955,1588,387,0,0,0,0,0,39,0,5332
"2019-01-04 01:00:00",523,0,0,9163,1584,79,0,0,676,0,1633,1533,415,0,0,0,0,1,38,0,4709
