"Index","Actual.Total.Load.IT"
"2018-01-01 00:00:00",23071
"2018-01-01 01:00:00",22305
"2018-01-01 02:00:00",20971
"2018-01-01 03:00:00",19875
"2018-01-01 04:00:00",19074
"2018-01-01 05:00:00",19346
"2018-01-01 06:00:00",20168
"2018-01-01 07:00:00",20810
"2018-01-01 08:00:00",21102
"2018-01-01 09:00:00",22429
"2018-01-01 10:00:00",24334
"2018-01-01 11:00:00",26221
"2018-01-01 12:00:00",26951
"2018-01-01 13:00:00",25704
"2018-01-01 14:00:00",24619
"2018-01-01 15:00:00",24462
"2018-01-01 16:00:00",25641
"2018-01-01 17:00:00",28437
"2018-01-01 18:00:00",29306
"2018-01-01 19:00:00",30026
"2018-01-01 20:00:00",29421
"2018-01-01 21:00:00",28143
"2018-01-01 22:00:00",26158
"2018-01-01 23:00:00",23894
"2018-01-02 00:00:00",21288
"2018-01-02 01:00:00",19610
"2018-01-02 02:00:00",18897
"2018-01-02 03:00:00",18642
"2018-01-02 04:00:00",18996
"2018-01-02 05:00:00",20627
"2018-01-02 06:00:00",24788
"2018-01-02 07:00:00",28974
"2018-01-02 08:00:00",33188
"2018-01-02 09:00:00",36344
"2018-01-02 10:00:00",36772
"2018-01-02 11:00:00",36663
"2018-01-02 12:00:00",35771
"2018-01-02 13:00:00",34421
"2018-01-02 14:00:00",34686
"2018-01-02 15:00:00",34930
"2018-01-02 16:00:00",36315
"2018-01-02 17:00:00",39816
"2018-01-02 18:00:00",39814
"2018-01-02 19:00:00",39142
"2018-01-02 20:00:00",36928
"2018-01-02 21:00:00",34148
"2018-01-02 22:00:00",30520
"2018-01-02 23:00:00",27368
"2018-01-03 00:00:00",24135
"2018-01-03 01:00:00",22494
"2018-01-03 02:00:00",21478
"2018-01-03 03:00:00",21231
"2018-01-03 04:00:00",21406
"2018-01-03 05:00:00",22924
"2018-01-03 06:00:00",26930
"2018-01-03 07:00:00",31574
"2018-01-03 08:00:00",35789
"2018-01-03 09:00:00",38143
"2018-01-03 10:00:00",38228
"2018-01-03 11:00:00",37698
"2018-01-03 12:00:00",35823
"2018-01-03 13:00:00",35463
"2018-01-03 14:00:00",36567
"2018-01-03 15:00:00",37512
"2018-01-03 16:00:00",38767
"2018-01-03 17:00:00",41368
"2018-01-03 18:00:00",41185
"2018-01-03 19:00:00",40255
"2018-01-03 20:00:00",38043
"2018-01-03 21:00:00",34899
"2018-01-03 22:00:00",31355
"2018-01-03 23:00:00",28017
"2018-01-04 00:00:00",24710
"2018-01-04 01:00:00",22740
"2018-01-04 02:00:00",21863
"2018-01-04 03:00:00",21512
"2018-01-04 04:00:00",21695
"2018-01-04 05:00:00",23128
"2018-01-04 06:00:00",26975
"2018-01-04 07:00:00",31646
"2018-01-04 08:00:00",35798
"2018-01-04 09:00:00",37808
"2018-01-04 10:00:00",37884
"2018-01-04 11:00:00",36922
"2018-01-04 12:00:00",35708
"2018-01-04 13:00:00",34851
"2018-01-04 14:00:00",34863
"2018-01-04 15:00:00",36040
"2018-01-04 16:00:00",37792
"2018-01-04 17:00:00",40767
"2018-01-04 18:00:00",40489
"2018-01-04 19:00:00",39873
"2018-01-04 20:00:00",37464
"2018-01-04 21:00:00",34694
"2018-01-04 22:00:00",31361
"2018-01-04 23:00:00",28259
